50,1.584,1.013,2.04,12.7,14.6,9.23,0.728
-40,1.515,1.013,2.12,13.8,15.2,10.04,0.728
-30,1.453,1.013,2.20,14.9,15.7,10.80,0.723
-20,1.395,1.009,2.28,16.2,16.2,12.79,0.716
-10,1.342,1.009,2.36,17.4,16.7,12.43,0.712
0,1.293,1.005,2.44,18.8,17.2,13.28,0.707
10,1.247,1.005,2.51,20.0,17.6,14.16,0.705
20,1.205,1.005,2.59,21.4,18.1,15.06,0.703
30,1.165,1.005,2.67,22.9,18.6,16.00,0.701
40,1.128,1.005,2.76,24.3,19.1,16.96,0.699
50,1.093,1.005,2.83,25.7,19.6,17.95,0.698
60,1.060,1.005,2.90,27.2,20.1,18.97,0.696
70,1.029,1.009,2.96,28.6,20.6,20.02,0.694
80,1.000,1.009,3.05,30.2,21.1,21.09,0.692
90,0.972,1.009,3.13,31.9,21.5,22.10,0.690
100,0.946,1.009,3.21,33.6,21.9,23.13,0.688
120,0.898,1.009,3.34,36.8,22.8,25.45,0.686
140,0.854,1.013,3.49,40.3,23.7,27.80,0.684
160,0.815,1.017,3.64,43.9,24.5,30.09,0.682
180,0.779,1.022,3.78,47.5,25.3,32.49,0.681
200,0.746,1.026,3.93,51.4,26.0,34.85,0.680
250,0.674,1.038,4.27,61.0,27.4,40.61,0.677
300,0.615,1.047,4.60,71.6,29.7,48.33,0.674
350,0.566,1.059,4.91,81.9,31.4,55.46,0.676
400,0.524,1.068,5.21,93.1,33.0,63.09,0.678
500,0.456,1.093,5.74,115.3,36.2,79.38,0.687
600,0.404,1.114,6.22,138.3,39.1,96.89,0.699
700,0.362,1.135,6.71,163.4,41.8,115.4,0.706
800,0.329,1.156,7.18,188.8,44.3,134.8,0.713
900,0.301,1.172,7.63,216.2,46.7,155.1,0.717
1000,0.277,1.185,8.07,245.9,49.0,177.1,0.719
1100,0.257,1.197,8.50,276.2,51.2,199.3,0.722
1200,0.239,1.210,9.15,316.5,53.5,233.7,0.724
